symbol,exchange,missing_date,missing_type
002093,,2025-11-28,WINDOW_START
002094,,2025-11-28,WINDOW_START
002095,,2025-11-28,WINDOW_START
002096,,2025-11-28,WINDOW_START
002097,,2025-11-28,WINDOW_START
002098,,2025-11-28,WINDOW_START
002099,,2025-11-28,WINDOW_START
002100,,2025-11-28,WINDOW_START
002101,,2025-11-28,WINDOW_START
002102,,2025-11-28,WINDOW_START
002103,,2025-11-28,WINDOW_START
002104,,2025-11-28,WINDOW_START
002105,,2025-11-28,WINDOW_START
002106,,2025-11-28,WINDOW_START
002107,,2025-11-28,WINDOW_START
002108,,2025-11-28,WINDOW_START
002109,,2025-11-28,WINDOW_START
002110,,2025-11-28,WINDOW_START
002111,,2025-11-28,WINDOW_START
002112,,2025-11-28,WINDOW_START
002114,,2025-11-28,WINDOW_START
002115,,2025-11-28,WINDOW_START
002116,,2025-11-28,WINDOW_START
002117,,2025-11-28,WINDOW_START
002119,,2025-11-28,WINDOW_START
002120,,2025-11-28,WINDOW_START
002121,,2025-11-28,WINDOW_START
002122,,2025-11-28,WINDOW_START
002123,,2025-11-28,WINDOW_START
002124,,2025-11-28,WINDOW_START
002125,,2025-11-28,WINDOW_START
002126,,2025-11-28,WINDOW_START
002127,,2025-11-28,WINDOW_START
002128,,2025-11-28,WINDOW_START
002129,,2025-11-28,WINDOW_START
002130,,2025-11-28,WINDOW_START
002131,,2025-11-28,WINDOW_START
002132,,2025-11-28,WINDOW_START
002133,,2025-11-28,WINDOW_START
002134,,2025-11-28,WINDOW_START
002135,,2025-11-28,WINDOW_START
002136,,2025-11-28,WINDOW_START
002137,,2025-11-28,WINDOW_START
002138,,2025-11-28,WINDOW_START
002139,,2025-11-28,WINDOW_START
002140,,2025-11-28,WINDOW_START
002141,,2025-11-28,WINDOW_START
002142,,2025-11-28,WINDOW_START
002144,,2025-11-28,WINDOW_START
002145,,2025-11-28,WINDOW_START
002146,,2025-11-28,WINDOW_START
002148,,2025-11-28,WINDOW_START
002149,,2025-11-28,WINDOW_START
002150,,2025-11-28,WINDOW_START
002151,,2025-11-28,WINDOW_START
002152,,2025-11-28,WINDOW_START
002153,,2025-11-28,WINDOW_START
002154,,2025-11-28,WINDOW_START
002155,,2025-11-28,WINDOW_START
002156,,2025-11-28,WINDOW_START
002157,,2025-11-28,WINDOW_START
002158,,2025-11-28,WINDOW_START
002159,,2025-11-28,WINDOW_START
002160,,2025-11-28,WINDOW_START
002161,,2025-11-28,WINDOW_START
002162,,2025-11-28,WINDOW_START
002163,,2025-11-28,WINDOW_START
002164,,2025-11-28,WINDOW_START
002165,,2025-11-28,WINDOW_START
002166,,2025-11-28,WINDOW_START
002167,,2025-11-28,WINDOW_START
002168,,2025-11-28,WINDOW_START
002169,,2025-11-28,WINDOW_START
002170,,2025-11-28,WINDOW_START
002171,,2025-11-28,WINDOW_START
002172,,2025-11-28,WINDOW_START
002173,,2025-11-28,WINDOW_START
002174,,2025-11-28,WINDOW_START
002175,,2025-11-28,WINDOW_START
002176,,2025-11-28,WINDOW_START
002177,,2025-11-28,WINDOW_START
002178,,2025-11-28,WINDOW_START
002179,,2025-11-28,WINDOW_START
002180,,2025-11-28,WINDOW_START
002181,,2025-11-28,WINDOW_START
002182,,2025-11-28,WINDOW_START
002183,,2025-11-28,WINDOW_START
002184,,2025-11-28,WINDOW_START
002185,,2025-11-28,WINDOW_START
002186,,2025-11-28,WINDOW_START
002187,,2025-11-28,WINDOW_START
002188,,2025-11-28,WINDOW_START
002189,,2025-11-28,WINDOW_START
002190,,2025-11-28,WINDOW_START
002191,,2025-11-28,WINDOW_START
002192,,2025-11-28,WINDOW_START
002193,,2025-11-28,WINDOW_START
002194,,2025-11-28,WINDOW_START
002195,,2025-11-28,WINDOW_START
002196,,2025-11-28,WINDOW_START
002197,,2025-11-28,WINDOW_START
002198,,2025-11-28,WINDOW_START
002199,,2025-11-28,WINDOW_START
002201,,2025-11-28,WINDOW_START
002202,,2025-11-28,WINDOW_START
002203,,2025-11-28,WINDOW_START
002204,,2025-11-28,WINDOW_START
002205,,2025-11-28,WINDOW_START
002206,,2025-11-28,WINDOW_START
002207,,2025-11-28,WINDOW_START
002208,,2025-11-28,WINDOW_START
002209,,2025-11-28,WINDOW_START
002210,,2025-11-28,WINDOW_START
002211,,2025-11-28,WINDOW_START
002212,,2025-11-28,WINDOW_START
002213,,2025-11-28,WINDOW_START
002214,,2025-11-28,WINDOW_START
002215,,2025-11-28,WINDOW_START
002216,,2025-11-28,WINDOW_START
002217,,2025-11-28,WINDOW_START
002218,,2025-11-28,WINDOW_START
002219,,2025-11-28,WINDOW_START
002221,,2025-11-28,WINDOW_START
002222,,2025-11-28,WINDOW_START
002223,,2025-11-28,WINDOW_START
