trade_date,tracked_mainline_count,danger_ratio,tc_ratio,diffusion_warning_ratio,low_diffusion_background_ratio,market_regime,p12c_noise_flag,p12c_tc_sparse_flag,p12c_meta_comment
2025-09-02,154,94.81,0.00,94.81,5.19,RANGE_CHOP_HIGH,YES,YES,danger_ratio=94.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-03,154,94.16,0.00,94.16,5.84,RANGE_CHOP_HIGH,YES,YES,danger_ratio=94.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-04,152,78.29,0.00,78.29,21.71,RANGE_CHOP_HIGH,YES,YES,danger_ratio=78.3% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-05,150,68.00,0.00,68.00,32.00,RANGE_CHOP_MID,YES,YES,danger_ratio=68.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-08,148,89.86,0.00,89.86,10.14,RANGE_CHOP_HIGH,YES,YES,danger_ratio=89.9% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-09,145,93.10,0.00,93.10,6.90,RANGE_CHOP_HIGH,YES,YES,danger_ratio=93.1% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-10,142,83.10,0.00,83.10,16.90,RANGE_CHOP_HIGH,YES,YES,danger_ratio=83.1% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-11,148,66.89,0.00,66.89,33.11,RANGE_CHOP_MID,YES,YES,danger_ratio=66.9% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-12,148,96.62,0.00,96.62,3.38,DEFENSIVE_SHIFT,YES,YES,danger_ratio=96.6% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-15,146,86.99,0.00,86.99,13.01,RANGE_CHOP_HIGH,YES,YES,danger_ratio=87.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-16,147,72.79,0.00,72.79,27.21,RANGE_CHOP_HIGH,YES,YES,danger_ratio=72.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-17,147,91.16,0.00,91.16,8.84,RANGE_CHOP_HIGH,YES,YES,danger_ratio=91.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-18,141,92.91,0.00,92.91,7.09,RANGE_CHOP_HIGH,YES,YES,danger_ratio=92.9% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-19,143,89.51,0.00,89.51,10.49,RANGE_CHOP_HIGH,YES,YES,danger_ratio=89.5% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-22,143,86.01,0.00,86.01,13.99,RANGE_CHOP_HIGH,YES,YES,danger_ratio=86.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-23,144,95.83,0.00,95.83,4.17,DEFENSIVE_SHIFT,YES,YES,danger_ratio=95.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-24,148,65.54,0.00,65.54,34.46,RANGE_CHOP_MID,YES,YES,danger_ratio=65.5% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-25,148,97.97,0.00,97.97,2.03,DEFENSIVE_SHIFT,YES,YES,danger_ratio=98.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-26,141,86.52,0.00,86.52,13.48,RANGE_CHOP_HIGH,YES,YES,danger_ratio=86.5% > 50.0%; tc_ratio=0.00% < 1.0%
