asof_date,src,symbol,v8_local_industry_id,v8_local_industry_name,v7_sw_l1_code,v7_sw_l1_name,mapping_type,manual_review_flag,jaccard_score,coverage_vs_v8,coverage_vs_v7,decision_reason
2026-03-30,SW2014,000400,857321.SI,857321.SI,801730.SI,电气设备,ONE_TO_ONE,0,0.059809,1.0,0.059809,high_v8_coverage_single_parent
2026-03-30,SW2014,000401,857111.SI,857111.SI,801710.SI,建筑材料,ONE_TO_ONE,0,0.177215,1.0,0.177215,high_v8_coverage_single_parent
2026-03-30,SW2014,000402,851812.SI,851812.SI,801180.SI,房地产,ONE_TO_ONE,0,0.084034,1.0,0.084034,high_v8_coverage_single_parent
2026-03-30,SW2014,000403,851522.SI,851522.SI,801150.SI,医药生物,ONE_TO_ONE,0,0.013283,1.0,0.013283,high_v8_coverage_single_parent
2026-03-30,SW2014,000404,851161.SI,851161.SI,801110.SI,家用电器,ONE_TO_ONE,0,0.277778,1.0,0.277778,high_v8_coverage_single_parent
2026-03-30,SW2014,000407,851631.SI,851631.SI,801160.SI,公用事业,ONE_TO_ONE,0,0.213235,1.0,0.213235,high_v8_coverage_single_parent
2026-03-30,SW2014,000409,852226.SI,852226.SI,801750.SI,计算机,ONE_TO_ONE,0,0.313984,1.0,0.313984,high_v8_coverage_single_parent
2026-03-30,SW2014,000410,850711.SI,850711.SI,801890.SI,机械设备,ONE_TO_ONE,0,0.029508,1.0,0.029508,high_v8_coverage_single_parent
2026-03-30,SW2014,000411,851542.SI,851542.SI,801150.SI,医药生物,ONE_TO_ONE,0,0.045541,1.0,0.045541,high_v8_coverage_single_parent
2026-03-30,SW2014,000417,852033.SI,852033.SI,801200.SI,商业贸易,ONE_TO_ONE,0,0.130435,1.0,0.130435,high_v8_coverage_single_parent
2026-03-30,SW2014,000419,852033.SI,852033.SI,801200.SI,商业贸易,ONE_TO_ONE,0,0.130435,1.0,0.130435,high_v8_coverage_single_parent
2026-03-30,SW2014,000420,850343.SI,850343.SI,801030.SI,化工,ONE_TO_ONE,0,0.008791,1.0,0.008791,high_v8_coverage_single_parent
2026-03-30,SW2014,000421,852311.SI,852311.SI,801230.SI,综合,ONE_TO_ONE,0,0.428571,1.0,0.428571,high_v8_coverage_single_parent
2026-03-30,SW2014,000422,850331.SI,850331.SI,801030.SI,化工,ONE_TO_ONE,0,0.013187,1.0,0.013187,high_v8_coverage_single_parent
2026-03-30,SW2014,000423,851521.SI,851521.SI,801150.SI,医药生物,ONE_TO_ONE,0,0.127135,1.0,0.127135,high_v8_coverage_single_parent
2026-03-30,SW2014,000425,850771.SI,850771.SI,801890.SI,机械设备,ONE_TO_ONE,0,0.031148,1.0,0.031148,high_v8_coverage_single_parent
2026-03-30,SW2014,000426,850553.SI,850553.SI,801050.SI,有色金属,ONE_TO_ONE,0,0.082278,1.0,0.082278,high_v8_coverage_single_parent
2026-03-30,SW2014,000428,852121.SI,852121.SI,801210.SI,休闲服务,ONE_TO_ONE,0,0.053763,1.0,0.053763,high_v8_coverage_single_parent
2026-03-30,SW2014,000429,851731.SI,851731.SI,801170.SI,交通运输,ONE_TO_ONE,0,0.138889,1.0,0.138889,high_v8_coverage_single_parent
2026-03-30,SW2014,000430,852112.SI,852112.SI,801210.SI,休闲服务,ONE_TO_ONE,0,0.139785,1.0,0.139785,high_v8_coverage_single_parent
2026-03-30,SW2014,000488,851412.SI,851412.SI,801140.SI,轻工制造,ONE_TO_ONE,0,0.063953,1.0,0.063953,high_v8_coverage_single_parent
2026-03-30,SW2014,000498,857236.SI,857236.SI,801720.SI,建筑装饰,ONE_TO_ONE,0,0.136364,1.0,0.136364,high_v8_coverage_single_parent
2026-03-30,SW2014,000501,852031.SI,852031.SI,801200.SI,商业贸易,ONE_TO_ONE,0,0.191304,1.0,0.191304,high_v8_coverage_single_parent
2026-03-30,SW2014,000503,851041.SI,851041.SI,801750.SI,计算机,ONE_TO_ONE,0,0.255937,1.0,0.255937,high_v8_coverage_single_parent
2026-03-30,SW2014,000505,850152.SI,850152.SI,801010.SI,农林牧渔,ONE_TO_ONE,0,0.055556,1.0,0.055556,high_v8_coverage_single_parent
2026-03-30,SW2014,000506,850531.SI,850531.SI,801050.SI,有色金属,ONE_TO_ONE,0,0.063291,1.0,0.063291,high_v8_coverage_single_parent
2026-03-30,SW2014,000507,851617.SI,851617.SI,801160.SI,公用事业,ONE_TO_ONE,0,0.102941,1.0,0.102941,high_v8_coverage_single_parent
2026-03-30,SW2014,000509,850831.SI,850831.SI,801080.SI,电子,ONE_TO_ONE,0,0.072692,1.0,0.072692,high_v8_coverage_single_parent
2026-03-30,SW2014,000510,850322.SI,850322.SI,801030.SI,化工,ONE_TO_ONE,0,0.030769,1.0,0.030769,high_v8_coverage_single_parent
2026-03-30,SW2014,000513,851512.SI,851512.SI,801150.SI,医药生物,ONE_TO_ONE,0,0.204934,1.0,0.204934,high_v8_coverage_single_parent
2026-03-30,SW2014,000514,851811.SI,851811.SI,801180.SI,房地产,ONE_TO_ONE,0,0.566667,0.985507,0.571429,high_v8_coverage_single_parent
2026-03-30,SW2014,000516,851564.SI,851564.SI,801150.SI,医药生物,ONE_TO_ONE,0,0.028463,1.0,0.028463,high_v8_coverage_single_parent
2026-03-30,SW2014,000517,851811.SI,851811.SI,801180.SI,房地产,ONE_TO_ONE,0,0.566667,0.985507,0.571429,high_v8_coverage_single_parent
2026-03-30,SW2014,000518,851524.SI,851524.SI,801150.SI,医药生物,ONE_TO_ONE,0,0.058824,1.0,0.058824,high_v8_coverage_single_parent
2026-03-30,SW2014,000519,857431.SI,857431.SI,801740.SI,国防军工,ONE_TO_ONE,0,0.080537,1.0,0.080537,high_v8_coverage_single_parent
2026-03-30,SW2014,000520,851761.SI,851761.SI,801170.SI,交通运输,ONE_TO_ONE,0,0.125,1.0,0.125,high_v8_coverage_single_parent
2026-03-30,SW2014,000521,851116.SI,851116.SI,801110.SI,家用电器,ONE_TO_ONE,0,0.064815,1.0,0.064815,high_v8_coverage_single_parent
2026-03-30,SW2014,000523,852311.SI,852311.SI,801230.SI,综合,ONE_TO_ONE,0,0.428571,1.0,0.428571,high_v8_coverage_single_parent
2026-03-30,SW2014,000524,852131.SI,852131.SI,801210.SI,休闲服务,ONE_TO_ONE,0,0.064516,1.0,0.064516,high_v8_coverage_single_parent
2026-03-30,SW2014,000525,850333.SI,850333.SI,801030.SI,化工,ONE_TO_ONE,0,0.065934,1.0,0.065934,high_v8_coverage_single_parent
2026-03-30,SW2014,000526,859852.SI,859852.SI,801210.SI,休闲服务,ONE_TO_ONE,0,0.11828,1.0,0.11828,high_v8_coverage_single_parent
2026-03-30,SW2014,000528,850771.SI,850771.SI,801890.SI,机械设备,ONE_TO_ONE,0,0.031148,1.0,0.031148,high_v8_coverage_single_parent
2026-03-30,SW2014,000529,851241.SI,851241.SI,801120.SI,食品饮料,ONE_TO_ONE,0,0.054264,1.0,0.054264,high_v8_coverage_single_parent
2026-03-30,SW2014,000530,850715.SI,850715.SI,801890.SI,机械设备,ONE_TO_ONE,0,0.027869,1.0,0.027869,high_v8_coverage_single_parent
2026-03-30,SW2014,000531,851611.SI,851611.SI,801160.SI,公用事业,ONE_TO_ONE,0,0.205882,1.0,0.205882,high_v8_coverage_single_parent
2026-03-30,SW2014,000532,851927.SI,851927.SI,801790.SI,非银金融,ONE_TO_ONE,0,0.042105,1.0,0.042105,high_v8_coverage_single_parent
2026-03-30,SW2014,000533,857381.SI,857381.SI,801730.SI,电气设备,ONE_TO_ONE,0,0.062201,1.0,0.062201,high_v8_coverage_single_parent
2026-03-30,SW2014,000534,851524.SI,851524.SI,801150.SI,医药生物,ONE_TO_ONE,0,0.058824,1.0,0.058824,high_v8_coverage_single_parent
2026-03-30,SW2014,000536,850831.SI,850831.SI,801080.SI,电子,ONE_TO_ONE,0,0.072692,1.0,0.072692,high_v8_coverage_single_parent
2026-03-30,SW2014,000537,851617.SI,851617.SI,801160.SI,公用事业,ONE_TO_ONE,0,0.102941,1.0,0.102941,high_v8_coverage_single_parent
2026-03-30,SW2014,000538,851521.SI,851521.SI,801150.SI,医药生物,ONE_TO_ONE,0,0.127135,1.0,0.127135,high_v8_coverage_single_parent
2026-03-30,SW2014,000539,851611.SI,851611.SI,801160.SI,公用事业,ONE_TO_ONE,0,0.205882,1.0,0.205882,high_v8_coverage_single_parent
2026-03-30,SW2014,000541,851151.SI,851151.SI,801110.SI,家用电器,ONE_TO_ONE,0,0.111111,1.0,0.111111,high_v8_coverage_single_parent
